type,name,label:english,label:luganda,hint:english,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
select_one q10_1new_vers2,fire_teach_q10_1_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers2,fire_teach_q10_1_2_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers2,pta_q10_2_2,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers2,bring_up_q10_3_2,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers2,assemble_q10_4_2,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version2,,,,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version3,,,,,,,,,,${randomdraw6} > 0.50 and ${randomdraw6} <= 0.75,,,,,,,,,,,,
select_one q10_1new_vers3,fire_teach_q10_1_3,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers3,fire_teach_q10_1_3_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers3,pta_q10_2_3,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers3,bring_up_q10_3_3,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers3,assemble_q10_4_3,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version3,,,,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version4,,,,,,,,,,${randomdraw6} > 0.75,,,,,,,,,,,,
select_one q10_1new_vers4,fire_teach_q10_1_4,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers4,fire_teach_q10_1_4_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers4,pta_q10_2_4,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers4,bring_up_q10_3_4,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers4,assemble_q10_4_4,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version4,,,,,,,,,,,,,,,,,,,,,,
select_one q10_5,repeat_absense_q10_7,10.5) Suppose a teacher is repeatedly absent from school during teaching hours. Which of the following statements comes closest to your view? [READ OUT],10.5) Tugeze omusomesa adingana okwosa kusomero musawa ezokusomesa. Sitatimentiki kuzino wamanga esinga okuba okumpi nendowozayo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_8,village_action_q10_8,"10.6) Teachers are often absent during school hours. In some villages, parents wait to get all facts before taking any action, in order to avoid creating unnecessary conflict. In other villages, the parents immediately come together and confront the headmaster. What is your village like?","10.6) Abasomesa batera obutabeerawo mu saawa z’okusoma. Mu byaalo ebimu, abazadde balinda okusobola okufuna obukakafu bwonna nga tebanabako kyebakola okusobola okwewala okuleetawo obukuubagano obutasaanidde. Mubyaalo ebirala, abazadde basitukilawo nebakungaana era nebalumba omukulu w’essomero. Ekyaalo kyo kiri kitya?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_9,change_abs_q10_9,10.7) Some people think that it is hard to organize parents get together to do something about teacher absenteeism and that anything they achieve will quickly disappear. Other people think that parents can come together over a long stretch of time and reduce absenteeism. Which comes closest to your view? ,10.7) Abantu abamu balowooza nti kizibu okukunganya abazadde awamu okubako kyebakola ku kwebulankanya kwa basomesa era kyonna kyebakola kijja kubula mangu nnyo. Ate abantu abamu balowooza nti abazadde basobola okujja awamu okumala akaseera akawanvu ne'basoboola okukendeeza ku'kwosa kwa'basomesa. ki ekijjila amangu endowooza yo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_10,,,,,,,,,,,,,,,,,,,,,,
begin group,section_11,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_11,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q11_4,robbed_police_q11_5,11.1) Imagine you’ve been robbed and you report the robbery to the police. How likely is it that the police officer will deal with the case in a satisfactory manner? [READ OUT],11.1) Kubamu akafananyi nga obidwa era omubbi nomuwaabira ku police.kyenkanaki nti offisa wa police anakola kumusango mungeri ematiza? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q11_3,gov_resp_q11_2,11.2) Which of the following statements comes closest to your view? [READ OUT],11.2) Eliwa ku zino emboozi ejja okumpi nendowooza yo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q11_4_2,gov_spend_q11_3,"11.3) Suppose that the government has more money to spend on rural areas such as this one due to economic growth.  If that happens, what would you most like to see the government spend on? [READ OUT]","11.3) Fumitiriza nti gavumeenti elina sente nyingi ezokusasanya ku bitundu byebyalo nga'kino kulwebyenfuna ne'nkulakulana. Ekyo bwekibaawo, ki kyosinga okwagala okulaba gavumeenti nga esasanyaako? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_11,,,,,,,,,,,,,,,,,,,,,,
begin group,section_12,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_12,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
audio audit,audio_sec12,Audio_section12,Audio_section12,,,,,p=100; s=note12_1; d=note12_7,,,${audio_consent}=1,,,,,,,,,,,,
note,note12,"In the next section, I will continue to ask you questions about your personal views on different issues. There is no right or wrong answer to these questions – We are simply interested in your opinion. Anything you say will be kept strictly confidential.","Mu kitundu ekiddako, nja kwongera okukubuuza ebibuuzo ebikwata ku ndowoozazo ng'omuntu ku nsonga ezenjawulo. Tewali kyakuddamu kituufu oba kifu ku bibuuzo bino- twagala bwagazi kufuna ndowooza yo. Kyonna kyonayogera kijja kukumibwa nga kyakyama.",,,,,,,,,,,,,,,,,,,,
note,note12_1,ENUMERATOR: Beginning of the recording,ENUMERATOR: Beginning of the recording,,,,,,,,${audio_consent}=1,,,,,,,,,,,,
begin group,gr12_1,,,,,,,field-list,,,,,,,,,,,,,,,
note,note12_2,Suppose that a girl in your neighborhood has had a deliberate abortion. She has been ostracized from the community and people seem to have turned their backs on her.,"Fumitiriza omuwala oli ku mulilwano gwo ajjemu olubuto. Aboleedwa mu bantu mwabeera, nabantu balabika bamuvuddemu.",,,,,,,,,,,,,,,,,,,,
select_one q13_1,involved_q12_1,"12.1) In this situation, two of your friends make the following two statements. Which friend would you agree with? [READ OUT]","12.1) Mumbeera eno, babiri ku mikwano gyo bakola sitetimenti zino. Mukwanogwo ki gwewandikiriziganyiza naye?",Suppose that a girl in your neighborhood has had a deliberate abortion. She has been ostracized from the community and people seem to have turned their backs on her.,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr12_1,,,,,,,,,,,,,,,,,,,,,,
select_one q13_2,involved_comm_q12_2,12.2) What do you think most others in your community think about this issue? [READ OUT],12.2) Olowooza abantu abasinga abalala mukitundu kyo balowooza ki kunsonga eno? [READ OUT],Suppose that a girl in your neighborhood has had a deliberate abortion. She has been ostracized from the community and people seem to have turned their backs on her.,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,involved_doct_q12_3,"12.3) If the girl who had the deliberate abortion went to the hospital for medication, do you think doctors would look down on her?","12.3) Singa omuwala eyajamu olubuto kyeyagalire agenda muddwaaliro okufuna obujjanjabi, olowooza badokita bayinza obutamufaako nokumuyisamu amaaso?",Suppose that a girl in your neighborhood has had a deliberate abortion. She has been ostracized from the community and people seem to have turned their backs on her.,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,randomdraw7,,,,,once(random()),,,,,,,,,,,,,,,,,
note,note12_4,Imagine that a niece from another village is staying with you in order to attend school. And imagine you come home and find her sick. She confides to you that she had a deliberate abortion and is scared about what will happen if others find out. ,Kuba akafananyi nti muwaala wo'okuva mukyalo ekilala abeera naawe okusobola okusoma. Era kuba akafananyi ojja ewaka n'omusanga nga mulwadde. Akwesiga nakubulira nti yajjemu olubuto ate ngatya ekinaddilira singa abalala bakizuula.,,,,,,,,,,,,,,,,,,,,
begin group,gr12.4version1,,,,,,,,,,${randomdraw7}<=0.5,,,,,,,,,,,,
select_one q12_4a_vers1,niece_q12_4a_1,12.4a) Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,12.4a) Fumitiriza waliwo byosobola okukola byamirindi ebiri gyokka. Kiliwa kyewandilozewo?,,,,,,,,${lc1_naba_vht_q2_11} != 5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_4a_2_vers1,niece_q12_4a_1_2,12.4a) Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,12.4a) Fumitiriza waliwo byosobola okukola byamirindi ebiri gyokka. Kiliwa kyewandilozewo?,,,,,,,,${lc1_naba_vht_q2_11}=5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_4b_vers1,niece_q12_4b_1,12.4b) Suppose instead that these were the two actions you could take. Which one would you prefer to take?,12.4b) Fumitiriza nti ate waliwo byosobola okukola byamirindi ebiri . Kiliwa kyewandilozewo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr12.4version1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr12.4version2,,,,,,,,,,${randomdraw7}>0.5,,,,,,,,,,,,
select_one q12_4a_vers2,niece_q12_4a_2,12.4a) Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,12.4a) Fumitiriza waliwo byosobola okukola byamirindi ebiri gyokka. Kiliwa kyewandilozewo?,,,,,,,,${lc1_naba_vht_q2_11} != 5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_4a_2_vers2,niece_q12_4a_2_2,12.4a) Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,12.4a) Fumitiriza waliwo byosobola okukola byamirindi ebiri gyokka. Kiliwa kyewandilozewo?,,,,,,,,${lc1_naba_vht_q2_11}=5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_4b_vers2,niece_q12_4b_2,12.4b) Suppose instead that these were the two actions you could take. Which one would you prefer to take?,12.4b) Fumitiriza nti ate waliwo byosobola okukola byamirindi ebiri . Kiliwa kyewandilozewo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr12.4version2,,,,,,,,,,,,,,,,,,,,,,
calculate,randomdraw8,,,,,once(random()),,,,,,,,,,,,,,,,,
note,note12_5,A woman from your village who has eight children tells you that she has terminated her recent pregnancy by eating roots. She feels very guilty and upset. ,"Omukazi okuva mu kyalo kyo alina abaana munaana akugamba nti ajjemu olubuto nga alya mirandila, awulira kimulumiriza era mwelarikirivu",,,,,,,,,,,,,,,,,,,,
begin group,gr12.5version1,,,,,,,,,,${randomdraw8} <=0.5,,,,,,,,,,,,
select_one q12_5a_vers1,eight_children_q12_5a_1,12.5a) Suppose again that there are only two actions that you can take. Please tell us which one you would prefer to take. ,12.5a) Fumitiriza era nga waliwo byosobla okukola bya mirundi ebiri. Bambi tubulire kiliwa kyewandilozeeko.,,,,,,,,${lc1_naba_vht_q2_11} != 5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_5a_2_vers1,eight_children_q12_5a_1_2,12.5a) Suppose again that there are only two actions that you can take. Please tell us which one you would prefer to take. ,12.5a) Fumitiriza era nga waliwo byosobla okukola bya mirundi ebiri. Bambi tubulire kiliwa kyewandilozeeko.,,,,,,,,${lc1_naba_vht_q2_11}=5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_5b_vers1,eight_children_q12_5b_1,12.5b) Suppose instead that these were the two actions you could take. Which one would you prefer to take?,12.5b) Fumitiriza nti ate waliwo byosobola okukola byamirindi ebiri . Kiliwa kyewandilozewo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr12.5version1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr12.5version2,,,,,,,,,,${randomdraw8} > 0.5,,,,,,,,,,,,
select_one q12_5a_vers2,eight_children_q12_5a_2,12.5a) Suppose again that there are only two actions that you can take. Please tell us which one you would prefer to take. ,12.5a) Fumitiriza era nga waliwo byosobla okukola bya mirundi ebiri. Bambi tubulire kiliwa kyewandilozeeko.,,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_5a_2_vers2,eight_children_q12_5a_2_2,12.5a) Suppose again that there are only two actions that you can take. Please tell us which one you would prefer to take. ,12.5a) Fumitiriza era nga waliwo byosobla okukola bya mirundi ebiri. Bambi tubulire kiliwa kyewandilozeeko.,,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_5b_vers2,eight_children_q12_5b_2,12.5b) Suppose instead that these were the two actions you could take. Which one would you prefer to take?,12.5b) Fumitiriza nti ate waliwo byosobola okukola byamirindi ebiri . Kiliwa kyewandilozewo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr12.5version2,,,,,,,,,,,,,,,,,,,,,,
begin group,gr12_6,,,,,,,field-list,,,,,,,,,,,,,,,
note,note12_6,"12.6) If a deliberate abortion could be done completely safely with no risk for the mother’s health, do you approve or disapprove of the deliberate abortion under the following circumstances?","12.6) Singa okujjamu olubuto mubugenderevu kusobola okukolebwa awatali buzibu bwonna nga tewali bulabe nabumu bwakutuuka ku bulamu bwa maama, Okakasa oba tokakasa kujjamu mbuto mubugenderevu mu'mbeera zino wamanga?",,,,,,,,,,,,,,,,,,,,
select_one q13_5,mother_health_q12_5a,a) Where the pregnancy puts the mother's health at risk ,a) Olubuto bweruba luteeka obulamu bwa maama mu matigga,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr12_6,,,,,,,,,,,,,,,,,,,,,,
select_one q13_5,no_children_q12_5d,b) Where a married couple does not want to have any more children,b) Nga abafumbo tebakyayagala kuzaala baana balala,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q13_6,turn_backs_q12_6,12.7) Imagine that a woman from your community had a deliberate abortion. How many people in your community will turn their backs on her? [READ OUT],12.7) Teberezamu nti omukyaala okuva mukitundu kyo agyemu olubuto mubugenderevu. Abantu bameka mukitundu kyo abagya okumwewala? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_8,back_school_q12_8,12.8) Are girls who have had an abortion welcome to go back to school or will they face hostility from their teachers?,"12.8) Abawala abajjemu embuto banirizibwa okudda ku'ssomero, oba bafunaa okutulugunyizibwa okuva mu'basomesa babwe?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_9,adult_complic_q12_9,12.9) Suppose an adult woman had a deliberate abortion and is suffering from medical complications. In your view should other people help her or should they not help somebody who had a deliberate abortion?,12.9) Fumitiriza omukazi omukulu ajjemu olubuto nga alumizibwa. Mu ndowoozayo abantu abalala bandibiyingiddemu okumuyamba oba bandifudde ku'bibakwatako?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q12_10,friends_fam_q12_10,"12.10) Suppose a woman had a deliberate abortion and is suffering from medical complications. Some people think that if friends and family act quickly to bring her to a hospital, this will reduce the risk of death.  Others believe that friends and family can do little to help her, since whether she recovers lies in the hands of God. Which comes closest to your view?","12.10) Fumitiriza omukazi ajjemu olubuto mu bugenderevu, era nga abonabona nobulumi bwokujjamu olubuto. Abantu abamu balowooza nti singa abemikano oba abomumaka babako kyebakola mu bwangu okumutwala mu'ddwaliro, kino kijja kukendeeza kubuzibu obwoluberera oba no'kuziza okufaa, A bantu abamu bakiriza nti abemikwano nabomumaka basobola kukola kitono okumuyamba engeri okuwona kwe nobutawona jebili  mumikono jja katonda. kiliwa ekijjila amangu ku ndowooza yo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,note12_7,ENUMERATOR: End of the recording,ENUMERATOR: End of the recording,,,,,,,,${audio_consent}=1,,,,,,,,,,,,
end group,section_12,,,,,,,,,,,,,,,,,,,,,,
begin group,section_13,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_13,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q14_1,religion_q14_1,"13.1) What is your religion, if any?",13.1) Oli waddini ki?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q14_1_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${religion_q14_1}=17,yes,,"Sorry, this response is required.",,,,,,,,,
integer,religion_times_q14_2,"13.2) In a typical week, how many times a week do you attend a religious service in a mosque, church or temple?","13.2) Mu wiiki eyabulijjo, mirundi emeka gyogenda mu muzikiti,kanisa oba yekaalu okusinza?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q14_4,pray_private_q14_4,"13.3) How often do you pray in private, just by yourself?","13.3) Mirundi emeka gyosaba weka mukyama, nga wesabisa weka",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_13,,,,,,,,,,,,,,,,,,,,,,
begin group,section_14,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_14,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one yesno,killed_witch_q14_1,14.1) In the last year do you know of a case in which someone was killed by witchcraft?,"14.1) Mu mwaka oguyise, omanyiko ekyaliwo kyonna nga'omuntu yatibwa e'ddogo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,possible_kill_q14_1b,14.1b) Do you think it is possible for someone to be killed by witchcraft?,14.1b) Olowooza kisoboka omuntu okuttibwa eddogo?,,,,,,,,${killed_witch_q14_1}=2,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,randomdraw9,,,,,once(random()),,,,,,,,,,,,,,,,,
select_one q15_2,truck_q15_4_1c,14.2) Imagine the following situation: A truck driver drove through your village and overran a small girl. The girl died. A group of men from your village got hold of the truck driver. Which statement comes closest to your view?  [READ OUT],14.2) Fumitiriza/lowooza ku mbeera eno: Omuvuzi we motoka ennene yavuga okuyita mu kyaalo kyamwe naatomera akaana akawala. Akawala nekaafa. Ekibinja ky'abasajja okuva mukyalo kyo bakwaata omuvuzi we motoka. Sitetimenti ki esinga okubeera okumpi n'endowooza yo? [READ OUT],,,,,,,,${randomdraw9} <= 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q15_2,truck_q15_4_2c,14.2) Imagine the following situation: A truck driver drove drunk through your village and overran a small girl. The girl died. A group of men from your village got hold of the truck driver. Which statement comes closest to your view?  [READ OUT],14.2) Fumitiriza/lowooza ku mbeera eno: Omuvuzi we motoka ennene yavuga nga atamidde okuyita mu kyaalo kyamwe naatomera akaana akawala. Akawala nekaafa. Ekibinja ky'abasajja okuva mukyalo kyo bakwaata omuvuzi we motoka. Sitetimenti ki esinga okubeera okumpi n'endowooza yo? [READ OUT],,,,,,,,${randomdraw9} >  0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one truck_beat,truck_beat1,"14.2b) Should the men just beat the truck driver, rough him up or beat him to death?","14.2b) Ekibinja kyabasajja kimukubemu ko,kimukube nyo,oba kimukkube paka okumutta?",,,,,,,,${truck_q15_4_1c} = 1 ,yes,,"Sorry, this response is required.",,,,,,,,,
select_one truck_police,truck_police1,"14.2b) Are you concerned that the driver will bribe the police and get away without punishment, or do you trust the police to handle the case appropriately?","14.2b) Kinakukwatako nti omuvuzi wa motoka anaawa police enguzi nawona ekibonerezo,oba wesiga police okukwasaganya ensonga eno mungeri entuffu?",,,,,,,,${truck_q15_4_1c} = 2 ,yes,,"Sorry, this response is required.",,,,,,,,,
select_one truck_beat,truck_beat2,"14.2b) Should the men just beat the truck driver, rough him up or beat him to death?","14.2b) Ekibinja kyabasajja kimukubemu ko,kimukube nyo,oba kimukkube paka okumutta?",,,,,,,,${truck_q15_4_2c} = 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one truck_police,truck_police2,"14.2b) Are you concerned that the driver will bribe the police and get away without punishment, or do you trust the police to handle the case appropriately?","14.2b) Kinakukwatako nti omuvuzi wa motoka anaawa police enguzi nawona ekibonerezo,oba wesiga police okukwasaganya ensonga eno mungeri entuffu?",,,,,,,,${truck_q15_4_2c} = 2,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,randomdraw10,,,,,once(random()),,,,,,,,,,,,,,,,,
select_one q15_3,group_punish_q15_5_1c,14.3) Imagine the following situation: A member of your community is yelling for help and claims to have been robbed. The accused thief has been surrounded by a group of people who want to beat him up. Which action are you most likely to take? [READ OUT],14.3) Fumitiriza/lowooza ku mbeera eno: Omutuuze w'omukitundu kyo alaajanira okumuyamba era agamba nti abbiddwa. Agambibwa okuba omubbi yeetolodwa ekibinja ky'abantu abaagala okumukuba. Kiki kyoyinza okukola? [READ OUT],,,,,,,,${randomdraw10} <= 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q15_3,group_punish_q15_5_2c,14.3) Imagine the following situation: A member of your community is yelling for help and claims to have been robbed. The accused thief has been surrounded by a group of people who want to beat him up because they believe the police won’t do anything. Which action are you most likely to take? [READ OUT],14.3) Fumitiriza/lowooza ku mbeera eno: Omutuuze w'omukitundu kyo alaajanira okumuyamba era agamba nti abbiddwa. Agambibwa okuba. Omubbi yeetoolwa ekibinja ky'abantu abaagala okumukuba kubanga balowooza polisi telina kyejja kukola. Kikolwa ki kyoyinza okukola? [READ OUT],,,,,,,,${randomdraw10} > 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_14,,,,,,,,,,,,,,,,,,,,,,
begin group,section_15,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_15,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
calculate,randomdraw11,,,,,once(random()),,,,,,,,,,,,,,,,,
note,note15_1son,"Now, we would like to know about what you would want for your son. If you do not have at least one son, try to imagine what you would want if you had a son.","Kati, twandyagadde okumanya byewandyagaliza mutabani wo. Bwoba tolina wakili omutabani omu, gezaako okwefumitiriza kyewandyagaliza omutabani singa obadde naye",,,,,,,,${randomdraw11} <= 0.5,,,,,,,,,,,,
select_one q15_1,succesfull_son_q15_1,"15.1) If you had to choose between the two, would you prefer that your son learn to be compassionate and help those in need or that they become successful in life and make a lot of money?","15.1) Bwoba olina okulondawo ku bibiri, wandilonzewo nti mutabaniiwo ayiga okubeera owekisa era nga'yamba abali mu bwetaavu, oba nti afuuke omuwanguzi mu bulamu, akoole sente nnyingi nnyo.",,,,,,,,${randomdraw11} <= 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q15_2_2,qualities_son_q15_2_1,15.2) Here is a list of qualities that children can be encouraged to learn at home. Which would you consider most important for your own children to have? ,15.2) Wano waliwo olukalala lwebintu abaana byebasobola okukubirizibwa okuyiga ewaka. Kiliwa kyewandilonzewo ekisinga abaana bo kyebandibadde nakyo? ,,,,,,,,${randomdraw11} <= 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
