type,name,label:english,label:luganda,hint,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
select_one yesno,chat_community_q8_5,"8.4) Again, let’s talk about the opinion of other people in your community. In your community, do most people think a man has a good reason to hit his wife if she spends a lot of time chatting with friends in the market?","8.4) Neera, katwoogere ku ndowooza y'abantu b'omukitundu kyo. Mukitundu kyo, abantu abasinga balowooza nti omusajja alina ensonga ennungi okukuba mukazi we singa omukazi aba amala obudde ngawayamu ne mikwano mukatale?",,,,,,,,${randomdraw3} <= 0.33333,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,fin_press_comm_q8_6,8.4) Do most people in your community think that a man has a good reason to hit his wife if he is under immense financial pressure and becomes angry when she asks for money to buy food?  ,"8.4) Ngolowooza ku ndowooza zabantu mu kitindu kyo, abantu abasinga mu kitundu ky balowooza omusajja alina ensonga ennungi okukuba mukaziwe bwaba nga ali mukunyigirizibwa kwebyenfuna nanyiiga nga bamusabye sente zokugula emmere y'owaka?",,,,,,,,${randomdraw3} > 0.33333 and ${randomdraw3} <= 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_8,react_q8_7,"8.5) If people in your community were to find out that a man was beating his wife or girlfriend, how would most of them react? [READ OUT] ","8.5) Singa abantu mukitundu kyo bakizuula nti omusajja akuba mukyaalawe oba muganziwe, abasinga bandikozeewo ki? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_9,intervene_q8_9,"8.6) Suppose a man beats his wife almost every evening. In your view, should other people intervene or should they wait for the situation to improve on its own?","8.6) Fumitiriza omusajja akuba mukaziwe kumpi buli lwaggulo. Mu ndabayo, abantu abalala balina okuyingiramu oba balina kufa ku bibakwatako?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q9_1,spiral_risk_q8_7,"8.7) Think of a man who has never beaten his wife before but beats her for a first time. Some people think he will probably not necessarily do so again. Others think that now that he has started beating her, he will continue to beat her, and soon her life will be in danger. Which view do you most agree with?","8.7) Lowooza ku musajja atakubaanga ku mukyaala we, akubaa mukyaala we omulundi ogusoka, Abantu abaamu bagamba ayinza obutaddamu kukikoola, Abalala balowooza nti kati katandise omukuba, wakumukuba pakka era obulamu bwe bujja kuba mumatiga. Kiki kwebyo kyosinga okukiriziganya nakyo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,note8_8,"Imagine that you are walking back from the garden one day, and through the bushes you see someone from your community beating his wife, who is silently crying and cowering in the corner of their home. ","Fumittiriza otambula okuva munimiro nga oyita mukisiko, nolaba omuntu okuva mukitundu kyo nga akuba mukyaala we, omukyaala okaaba ela nga yekwese mukasonda k'amaaka gwabwe",,,,,,,,,,,,,,,,,,,,
select_one q9_2,empathy_pair_q8_8,8.8) Some people say that women like her suffer greatly when they are hit by their husbands. Other people say that women like her tend to exaggerate their suffering. Which statement comes closest to your view? [READ OUT],"8.8) Abantu abamu bagamba nti abakyaala nga ono babonabona nyo bwebakubibwa ba baa babwe, Ate abantu abamu bagamba nti abakyaala bano bazimbulukusa okubonabona kwaabwe. Statimenti ki eli okumpi endowoza yo? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q9_3,empathy_husband_q8_9,8.9) What do you think husbands who beat their wives nowadays think about this? [READ OUT],8.9) Olowooza abaami abakuba bakyaala bwabe balowooza ki kunsonga eno enaku zino? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,free_riding_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,free_riding,,,,,"if(${free_riding_ran}<.5 ,'you know that you are the only who has observed the incident', 'you see a group of people from your community standing nearby, discussing the incident')",,,,,,,,,,,,,,,,,
calculate,free_riding_lug,,,,,"if(${free_riding_ran}<.5 ,'ng omanyi nti gwe weka alabye ekintu ekiguddewo', 'nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo')",,,,,,,,,,,,,,,,,
select_one yesno,free-riding_q8_10,"8.10) Continuing with the story of the wife and the husband that you observe on the way home from the garden, suppose ${free_riding} would you report it to a local leader (such as the LC1 or Nabakyala)? ","8.10) Nga tweyongelayo n'embozi y'omwami n'omukyala bewalaba nga ova munimilo, katugeze ${free_riding_lug} oyinza okugamba omukulembeze yena kakuteze nga chairman oba VHT?",,,,,,,,${lc1_naba_vht_q2_11}!=1 and ${lc1_naba_vht_q2_11}!=3 and ${lc1_naba_vht_q2_11}!=5,yes,,"Sorry, this response is required.",,,,,,,,,
text,free-riding_q8_10_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${free-riding_q8_10}=3,yes,,"Sorry, this response is required.",,,,,,,,,
text,free-riding_q8_10_no,"8.10b) If no, why?","8.10b) Bwekiba nedda, lwaki?",,,,,,,,${free-riding_q8_10}=2,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,free-riding_q8_10_2,"8.10) Continuing with the story of the wife and the husband that you observe on the way home from the garden, suppose ${free_riding} would you report it to a local leader (such as the LC1 or Nabakyala)? ","8.10) Nga tweyongelayo n'embozi y'omwami n'omukyala bewalaba nga ova munimilo, katugeze ${free_riding_lug} oyinza okugamba omukulembeze yena kakuteze nga Sentebe oba VHT?",,,,,,,,${lc1_naba_vht_q2_11}=1 or ${lc1_naba_vht_q2_11}=3 or ${lc1_naba_vht_q2_11}=5,yes,,"Sorry, this response is required.",,,,,,,,,
text,free-riding_q8_10_2no,"8.10b) If no, why?","8.10b) Bwekiba nedda, lwaki?",,,,,,,,${free-riding_q8_10_2}=2,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,revenge_q8_11,"8.11) If you were to report such an incident to the a local leader (such as the LC1 or Nabakyala), do you think the family or friends of the husband would try to take revenge against you?","8.11) Singa obeera wa kuloopa ensonga nga eno eri omukulembeze w'okukyalo yena nga sentebe oba VHT, Olowoza abo mumaka oba emikwano gy'omwami bayinza okuwolela/okukwesasuza?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,note8_12,"When people have a serious problem, such as having their property stolen, they might go to the police about the problem, or they might go to the LC1, or the Nabakyala. I would like you to think about recent times in which you have had a problem.","Abantu bwebabera n'ekizibu ekyamanyi, okugeza nga okubbibwako ebintu byabwe, bayinza okugenda okuloopa ekizibu kino ku polisi, oba ewa LC1 oba Nabakyaala. Njagaala olowoze ku kiseela ekyo kumpi kyo badde mu n'ekizibu",,,,,,,,,,,,,,,,,,,,
calculate,forum_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,forum,,,,,"if(${forum_ran}<.33 ,'LC1', if(${forum_ran}>=.33 and ${forum_ran}<.66  ,'Nabakyala', 'Police'))",,,,,,,,,,,,,,,,,
calculate,R_gender,,,,,"if(${sex_q2_1} = 1, 'man','woman')",,,,,,,,,,,,,,,,,
calculate,R_not_gender,,,,,"if(${sex_q2_1} = 1,  'Woman','Man')",,,,,,,,,,,,,,,,,
calculate,R_gender_lug,,,,,"if(${sex_q2_1} = 1, 'omusajja','omukazi')",,,,,,,,,,,,,,,,,
calculate,R_not_gender_lug,,,,,"if(${sex_q2_1} = 1,  'omukazi','omusajja')",,,,,,,,,,,,,,,,,
select_one yesno,reporting_exp_q8_12,8.12) Have you ever brought a problem to the ${forum} for help?,8.12) Wali otuteko ensonga oba ekizibu eri ${forum} okuyambibwa?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,reporting_intro,"In that case, please just answer to the best of your knowledge, given what you know from the experiences of ${R_gender} like you when they have brought their problems to the ${forum}.",Kwekyo nzilamu okusinzila kukyomanyi/obumanyirivu bwo obwa ${R_gender_lug} nga gwe bwebaleta ensonga zabwe eli ${forum}.,,,,,,,,${reporting_exp_q8_12}=2,,,,,,,,,,,,
note,reporting_intro_2,"In your recent experience, when you or a ${R_gender} like you take a problem to the ${forum}, do they:","Okusinzira ku mbeera gy'oyiseemu, gwe oba ${R_gender_lug} nga gwe bwotwala/bwatwala ekizibu/ensonga eli ${forum}, ba;",,,,,,,,,,,,,,,,,,,,
select_one yesno,reporting_cost1_q8_13a,8.13a) Treat you politely?,8.13a) Bakuyiisaa bulungi?,"In your recent experience, when you or a ${R_gender} like you take a problem to the ${forum}, do they:","Okusinzira kukyomanyi, gwe oba ${R_gender_lug} nga gwe bwebatwala ekizibu/ensonga eli ${forum}, ba;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,reporting_cost2_q8_13b,8.13b) Take your problem seriously?,8.13b) Batwaala ekizibu/ensonga yo/ye nga ekikuulu,"In your recent experience, when you or a ${R_gender} like you take a problem to the ${forum}, do they:","Okusinzira kukyomanyi, gwe oba ${R_gender_lug} nga gwe bwebatwala ekizibu/ensonga eli ${forum}, ba;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,reporting_cost3_q8_13c,8.13c) Treat you more favorably than they would treat a ${R_not_gender}?,8.13c) Bakuyisa bulungi okusinga bwebandiyisiza ${R_not_gender_lug}?,"In your recent experience, when you or a ${R_gender} like you take a problem to the ${forum}, do they:","Okusinzira kukyomanyi, gwe oba ${R_gender_lug} nga gwe bwebatwala ekizibu/ensonga eli ${forum}, ba;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_8,,,,,,,,,,,,,,,,,,,,,,
begin group,section_9,,,,,,,,,,,,,,,,,,,,,,
select_one q9_5,intervention_q9_1,"9.1) In some places, people believe that it is acceptable to intervene in other people’s private affairs if doing so might help to solve some problem.  In other places, people believe that it is wrong to interfere in other people’s private affairs. Is your community more like the first or the second kind of place? ",9.1) Mubitundu ebimu abantu bakiliza nti kikirizibwa okwenyigira munsonga z'abantu ez'ekyama singa kino kiyinza okuyamba okugonjjola ensonga. Mubitundu ebilala abantu bakiliza nti kikyamu okwenyigira munsonga z'abantu ez'ekyama. Ekitundu kyo kisinga kuba nga ekisoka oba ekyokubiiri?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q9_6,interv_consequence_q9_2,"9.2) If you noticed your neighbor was beating his wife, and told other people about it, how would most of the people in your village react? [READ OUT]","9.2) Singa okizuula nti mulirwaanawo akuba mukyaala we nobulilako abantu ku nsonga eyo, Abantu abasinga obungi ku kyalo bakola ki? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_9,,,,,,,,,,,,,,,,,,,,,,
begin group,section_10,,,,,,,,,,,,,,,,,,,,,,
calculate,randomdraw6,,,,,once(random()),,,,,,,,,,,,,,,,,
note,note_10_1,"In some of the villages we have visited, teachers miss many days or weeks of class when they should be teaching. Imagine that you find out that your child’s teacher has been absent for 2 days this week during teaching hours. Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.","Mu byalo ebimu gye tukyadde, abasomesa bayosa e'nnaku nyingi oba wiiki nyingi ze'balina okusomesezaamu. Fumitiriza ng’okizudde nti omusomesa w’omwanawo abadde ayoseza ennaku bbiri (2) mu wiiki eno mu'ssaawa ez’okusomesezaamu. tugeze waliwo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye wandilonze ko okukola.",,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version1,,,,,,,,,,${randomdraw6} <= 0.25,,,,,,,,,,,,
select_one q10_1new_vers1,fire_teach_q10_1_1,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers1,fire_teach_q10_1_1_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers1,pta_q10_2_1,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers1,bring_up_q10_3_1,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers1,assemble_q10_4_1,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version2,,,,,,,,,,${randomdraw6} > 0.25 and ${randomdraw6} <= 0.50,,,,,,,,,,,,
select_one q10_1new_vers2,fire_teach_q10_1_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers2,fire_teach_q10_1_2_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers2,pta_q10_2_2,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers2,bring_up_q10_3_2,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers2,assemble_q10_4_2,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version2,,,,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version3,,,,,,,,,,${randomdraw6} > 0.50 and ${randomdraw6} <= 0.75,,,,,,,,,,,,
select_one q10_1new_vers3,fire_teach_q10_1_3,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers3,fire_teach_q10_1_3_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers3,pta_q10_2_3,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers3,bring_up_q10_3_3,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers3,assemble_q10_4_3,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version3,,,,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version4,,,,,,,,,,${randomdraw6} > 0.75,,,,,,,,,,,,
select_one q10_1new_vers4,fire_teach_q10_1_4,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers4,fire_teach_q10_1_4_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers4,pta_q10_2_4,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers4,bring_up_q10_3_4,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers4,assemble_q10_4_4,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version4,,,,,,,,,,,,,,,,,,,,,,
select_one q10_5,repeat_absense_q10_7,10.5) Suppose a teacher is repeatedly absent from school during teaching hours. Which of the following statements comes closest to your view? [READ OUT],10.5) Tugeze omusomesa adingana okwosa kusomero musawa ez'okusomesa. Sitatimentiki kuzino wamanga esinga okuba okumpi nendowozayo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_8,village_action_q10_8,"10.6) Teachers are often absent during school hours. In some villages, parents wait to get all facts before taking any action, in order to avoid creating unnecessary conflict. In other villages, the parents immediately come together and confront the headmaster. What is your village like? [READ OUT]","10.6) Abasomesa batera obutabeerawo mu saawa z’okusoma. Mu byaalo ebimu, abazadde balinda okusobola okufuna obukakafu bwonna nga tebanabako kyebakola okusobola okwewala okuleetawo obukuubagano obutasaanidde. Mubyaalo ebirala, abazadde basitukilawo nebakungaana era nebalumba omukulu w’essomero. Ekyaalo kyo kiri kitya? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_9,change_abs_q10_9,10.7) Some people think that it is hard to organize parents get together to do something about teacher absenteeism and that anything they achieve will quickly disappear. Other people think that parents can come together over a long stretch of time and reduce absenteeism. Which comes closest to your view? [READ OUT],10.7) Abantu abamu balowooza nti kizibu okukunganya abazadde awamu okubako kyebakola ku kwebulankanya kwa basomesa era kyonna kyebakola kijja kubula mangu nnyo. Ate abantu abamu balowooza nti abazadde basobola okujja awamu okumala akaseera akawanvu ne'basoboola okukendeeza ku'kwosa kwa'basomesa. ki ekijjila amangu endowooza yo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,absent_freq_yesno_q10_8,"10.8) Since Christmas, to the best of your knowledge,  were teachers in the local school absent during teaching hours once a week or more?","10.8) Okusinzila kukyomanyi, okuva sekukulu ewedde, waliwo abasomesa abayoseza okusomesa mu saawa ez'okusomesezamu, omulundi gumu oba n'ogusuka mugumu mu wiiki?",ENUMERATOR: You can remind the respondent about the period after the third-term holidays.,ENUMERATOR: You can remind the respondent about the period after the third-term holidays.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_11,absent_freq_yes_q10_9,"10.9) Were teachers absent just once a week, or almost every day?",10.9) Abasomesa bayosa mulundi gumu mu wiiki oba kumpi buli lunaku?,,,,,,,,${absent_freq_yesno_q10_8}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_12,absent_freq_no_q10_9,10.9) Were teachers absent a few times since Christmas or not at all?,10.9) Abasomesa bayosa emilundi mitoono okuva christmas oba tebayosamu wadde?,,,,,,,,${absent_freq_yesno_q10_8}=2,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,teach_confronted_q10_9b,"10.9b) Since last Christmas, have teachers in your village been confronted by parents about their performance?","10.9b) Okuva sekukulu ewedde, abasomesa batukilirwako abazadde ku nsonga y'okusomesa?",ENUMERATOR: You can remind the respondent about the period after the third-term holidays.,ENUMERATOR: You can remind the respondent about the period after the third-term holidays.,,,,,,${activity_q3_1}=16,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_13,students_from_q10_9c,10.9c) Do your students mostly come from villages in your trading center or do most of them live in other trading centers?,10.9c) Abasomi abasinga bava mu byaalo byo mu senta eno oba abasinga bava mu senta endaala?,,,,,,,,${activity_q3_1}=16,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,pta_freq_yesno_q10_10,10.10) Does the PTA in the local school hold meetings more than once a term?,10.10) Akakiiko ka bazadde k'esomero (PTA) ly'okukyalo katuza enkungana okusuka omulundi ogumu mu lusoma?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_14,pta_freq_yes_q10_11,10.11) Do these meetings happen every month or even more often than that?,"10.11) Enkugaana zino ziberawo buli mwezi, oba zisukawo?",,,,,,,,${pta_freq_yesno_q10_10}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_15,pta_freq_no_q10_11,10.11) Do these meetings happen three times a year or even less than that?,"10.11) Enkugaana zino ziberawo emirundi esatu mu mwaka, oba ekitono kwekyo",,,,,,,,${pta_freq_yesno_q10_10}=2,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_10,,,,,,,,,,,,,,,,,,,,,,
begin group,section_11,,,,,,,,,,,,,,,,,,,,,,
calculate,accused_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,accused,,,,,"if(${accused_ran}>.5,'man ','woman ')",,,,,,,,,,,,,,,,,
calculate,accused_lug,,,,,"if(${accused_ran}>.5,'omusajja ','omukazi ')",,,,,,,,,,,,,,,,,
calculate,stranger_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,stranger,,,,,"if(${stranger_ran}>.5,'from your community ',' ')",,,,,,,,,,,,,,,,,
calculate,stranger_lug,,,,,"if(${stranger_ran}>.5,'okuva mu kitundu kyo ',' ')",,,,,,,,,,,,,,,,,
calculate,observed_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,observed,,,,,"if(${observed_ran}>.5, 'is accused of ','is observed ')",,,,,,,,,,,,,,,,,
calculate,observed_lug,,,,,"if(${observed_ran}>.5, 'avunaanibwa ','alabibwa ')",,,,,,,,,,,,,,,,,
calculate,offense_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,offense,,,,,"if(${offense_ran}>.5,'stealing from ', 'using black magic against ')",,,,,,,,,,,,,,,,,
calculate,offense_lug,,,,,"if(${offense_ran}>.5, 'okubba okuva ', 'okukozesa obufuusa /edogo eli ')",,,,,,,,,,,,,,,,,
calculate,victim_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,victim,,,,,"if(${victim_ran}>.5,'man ','woman ')",,,,,,,,,,,,,,,,,
calculate,victim_lug,,,,,"if(${victim_ran}>.5,'omusajja ','omukazi ')",,,,,,,,,,,,,,,,,
calculate,victim_stranger_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,victim_stranger,,,,,"if(${victim_stranger_ran}>.5,'from your community ','')",,,,,,,,,,,,,,,,,
calculate,victim_stranger_lug,,,,,"if(${victim_stranger_ran}>.5,'okuva mu kitundu kyo ',' ')",,,,,,,,,,,,,,,,,
calculate,instigator_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,instigator,,,,,"if(${instigator_ran}>.5,'The victim ','A bystander ')",,,,,,,,,,,,,,,,,
calculate,instigator_lug,,,,,"if(${instigator_ran}>.5,'Atusidwakwo obuzibu ',' Omuntu kubaali ')",,,,,,,,,,,,,,,,,
calculate,location_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,location,,,,,"if(${location_ran}>.5, 'in the marketplace ',' in the garden ')",,,,,,,,,,,,,,,,,
calculate,location_lug,,,,,"if(${location_ran}>.5, 'mu Katale ',' mu nnimiro ')",,,,,,,,,,,,,,,,,
calculate,beat_kill_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,beat_kill,,,,,"if(${beat_kill_ran}>.5,'beat ','kill ')",,,,,,,,,,,,,,,,,
calculate,beat_kill_lug,,,,,"if(${beat_kill_ran}>.5,'nebakuba ','nebatta ')",,,,,,,,,,,,,,,,,
calculate,guilt_ran,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,guilt,,,,,"if(${guilt_ran}>.5,'accused ','perpetrator ')",,,,,,,,,,,,,,,,,
calculate,guilt_lug,,,,,"if(${guilt_ran}>.5,'avunanibwa ','omuzzi w omusango ')",,,,,,,,,,,,,,,,,
